,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2021-02-25,319.7144,319.92,312.96,313.98,311.941819219,7536598,0.0,1.0
2021-02-26,314.42,314.44,308.78,309.45,307.44122542,7869954,0.0,1.0
2021-03-01,313.48,316.92,313.45,315.59,313.541368009,4753274,0.0,1.0
2021-03-02,315.72,316.43,314.01,314.19,312.150456018,4075678,0.0,1.0
2021-03-03,313.94,315.87,312.83,312.99,310.95824574,5148051,0.0,1.0
2021-03-04,313.19,314.92,305.68,309.58,307.570381534,8577594,0.0,1.0
2021-03-05,312.5,316.05,307.9,315.24,313.193640011,7016121,0.0,1.0
2021-03-08,316.75,321.73,315.83,318.25,316.184100792,8230727,0.0,1.0
2021-03-09,319.47,321.77,318.44,318.61,316.541763875,5829913,0.0,1.0
2021-03-10,320.53,324.31,320.47,323.33,321.231124302,6472177,0.0,1.0
2021-03-11,324.71,326.97,323.83,325.33,323.218141432,5745916,0.0,1.0
2021-03-12,325.67,328.49,325.5,328.31,326.178796955,4257160,0.0,1.0
2021-03-15,329.18,330.24,326.8101,330.09,327.947242201,4465420,0.0,1.0
2021-03-16,329.85,330.0,328.32,328.86,326.725226666,3270599,0.0,1.0
2021-03-17,329.21,331.03,328.38,330.77,328.622828025,4338229,0.0,1.0
2021-03-18,330.3,332.86,328.77,329.36,327.221980948,5386239,0.0,1.0
2021-03-19,328.09,328.18,324.98,326.01,324.560788776,5628836,0.6714,1.0
2021-03-22,325.55,327.98,325.03,327.24,325.785321061,3807558,0.0,1.0
2021-03-23,326.32,327.48,323.44,324.06,322.619457105,5068441,0.0,1.0
2021-03-24,325.28,327.73,324.08,324.08,322.639368199,6098982,0.0,1.0
2021-03-25,322.71,326.62,320.62,326.19,324.739988623,5557909,0.0,1.0
2021-03-26,327.6,330.89,326.68,330.61,329.140340411,4956562,0.0,1.0
2021-03-29,329.29,332.46,328.9,331.66,330.185672849,5200879,0.0,1.0
2021-03-30,331.05,331.6,329.78,330.82,329.349406899,4568829,0.0,1.0
2021-03-31,330.61,331.62,329.94,330.18,328.712251889,3763686,0.0,1.0
2021-04-01,330.78,331.6,329.72,331.45,329.976606362,5936080,0.0,1.0
2021-04-05,333.94,336.1521,333.91,335.2,333.709936498,5632673,0.0,1.0
2021-04-06,334.69,335.42,333.78,334.37,332.883626095,2987511,0.0,1.0
2021-04-07,334.14,335.17,333.44,334.37,332.883626095,2658526,0.0,1.0
2021-04-08,334.3,335.15,333.43,335.13,333.640247669,2664978,0.0,1.0
2021-04-09,335.72,338.08,335.36,337.86,336.358112009,3034682,0.0,1.0
2021-04-12,337.26,337.86,336.65,337.55,336.049490051,2951503,0.0,1.0
2021-04-13,336.63,337.42,335.49,336.79,335.292868476,3391673,0.0,1.0
2021-04-14,336.81,339.11,336.74,337.53,336.029578957,3966835,0.0,1.0
2021-04-15,338.83,340.72,338.83,340.44,338.926643143,3881795,0.0,1.0
2021-04-16,341.73,342.43,340.982,341.86,340.45178317,3748913,0.1119,1.0
2021-04-19,341.07,341.31,339.65,340.75,339.34635557,3222821,0.0,1.0
2021-04-20,339.4,339.86,336.7507,338.12,336.727189275,3762864,0.0,1.0
2021-04-21,337.63,341.54,337.56,341.3,339.894089967,4191221,0.0,1.0
2021-04-22,341.12,341.21,337.0901,338.12,336.727189275,4962486,0.0,1.0
2021-04-23,337.75,341.59,337.13,340.43,339.02767374,3615382,0.0,1.0
2021-04-26,341.15,341.48,339.39,339.87,338.469980536,2090866,0.0,1.0
2021-04-27,339.6,340.425,338.695,339.83,338.430145307,2732683,0.0,1.0
2021-04-28,339.23,339.49,338.06,338.37,336.976159455,3025135,0.0,1.0
2021-04-29,339.89,340.86,337.37,340.57,339.167097041,3688409,0.0,1.0
